9, "10", 575020970, 2, 575031910
9, "10", 575020970, 1, 575031911
, , , , 0
9, "10", 575020971, 2, 575031912
9, "10", 575020971, 1, 575031913
, , , , 0
9, "10", 575020972, 1, 575031914
9, "10", 575020972, 2, 575031915
, , , , 0
9, "10", 575020973, 1, 575031916
9, "10", 575020973, 2, 575031917
, , , , 0
9, "10", 575020974, 1, 575031918
, , , , 0
9, "10", 575020975, 1, 575031919
9, "10", 575020975, 2, 575031920
, , , , 0
9, "10", 575020980, 1, 575031925
, , , , 0
9, "10", 575021007, 1, 575031962
, , , , 0
9, "10", 575021090, 1, 575032061
, , , , 0
9, "10", 575021144, 1, 575032121
, , , , 0
9, "10", 575021151, 2, 575032127
9, "10", 575021151, 1, 575032128
, , , , 0
9, "10", 575021152, 3, 575030384
9, "10", 575021152, 4, 575030430
9, "10", 575021152, 2, 575032129
9, "10", 575021152, 1, 575032130
, , , , 0
9, "10", 575021153, 1, 575032131
9, "10", 575021153, 2, 575032132
, , , , 0
9, "10", 575021524, 2, 575032576
9, "10", 575021524, 1, 575032577
, , , , 0
9, "10", 575021525, 1, 575032578
, , , , 0
9, "10", 575021526, 1, 575032579
, , , , 0
9, "10", 575021527, 1, 575032580
9, "10", 575021527, 2, 575032581
, , , , 0
9, "10", 575021528, 1, 575032582
, , , , 0
9, "10", 575021529, 1, 575032583
, , , , 0
9, "10", 575021530, 1, 575032584
, , , , 0
9, "10", 575021531, 1, 575032585
9, "10", 575021531, 2, 575032586
, , , , 0
9, "10", 575021532, 1, 575032587
, , , , 0
9, "10", 575021533, 1, 575032588
9, "10", 575021533, 2, 575032589
, , , , 0
9, "10", 575021534, 2, 575032590
9, "10", 575021534, 1, 575032591
, , , , 0
9, "10", 575021535, 2, 575032592
9, "10", 575021535, 1, 575032593
, , , , 0
9, "10", 575021536, 2, 575032594
9, "10", 575021536, 1, 575032595
, , , , 0
9, "10", 575021537, 2, 575032596
9, "10", 575021537, 1, 575032597
